full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,80093,80093,6615,995,995,140,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,88190,88190,11536,5623,5623,828,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,33585,33585,5470,3297,3297,351,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,30021,30021,2307,166,166,14,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23228,23228,2223,154,154,20,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,29211,29211,1970,453,453,47,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,18973,18973,1663,935,935,86,https://github.com/shanraisshan/claude-code-best-practice
anthropics/claude-code-action,6384,6384,1570,50,50,12,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,14423,14423,1600,285,285,25,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9284,9284,1195,17,17,-1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8021,8021,574,79,79,6,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6183,6183,853,165,165,15,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3720,3720,547,5,5,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5546,5546,482,8,8,5,https://github.com/ChrisWiles/claude-code-showcase
ykdojo/claude-code-tips,6014,6014,406,898,898,43,https://github.com/ykdojo/claude-code-tips
1rgs/claude-code-proxy,3266,3266,429,15,15,3,https://github.com/1rgs/claude-code-proxy
pedrohcgs/claude-code-my-workflow,691,691,1252,28,28,72,https://github.com/pedrohcgs/claude-code-my-workflow
disler/claude-code-hooks-mastery,3341,3341,578,18,18,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3669,3669,339,26,26,2,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5287,5287,197,-1,-1,-1,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2208,2208,367,3,3,1,https://github.com/Yuyz0112/claude-code-reverse
anthropics/skills,97790,97790,10586,1971,1971,271,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7027,7027,340,43,43,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
qwibitai/nanoclaw,24356,24356,7077,569,569,687,https://github.com/qwibitai/nanoclaw
fuergaosi233/claude-code-proxy,2189,2189,314,18,18,2,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2153,2153,279,28,28,6,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,3879,3879,322,48,48,3,https://github.com/anthropics/claude-code-security-review
Cranot/claude-code-guide,2502,2502,262,8,8,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,613,613,590,3,3,0,https://github.com/anthropics/claude-code-base-action
sickn33/antigravity-awesome-skills,25924,25924,4434,727,727,117,https://github.com/sickn33/antigravity-awesome-skills
https-deeplearning-ai/sc-claude-code-files,455,455,618,1,1,4,https://github.com/https-deeplearning-ai/sc-claude-code-files
ding113/claude-code-hub,1975,1975,236,75,75,8,https://github.com/ding113/claude-code-hub
edmund-io/edmunds-claude-code,1338,1338,277,4,4,3,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,18293,18293,2963,908,908,161,https://github.com/router-for-me/CLIProxyAPI
FlorianBruniaux/claude-code-ultimate-guide,1993,1993,312,203,203,24,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
wshobson/agents,31735,31735,3467,234,234,22,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3557,3557,249,16,16,2,https://github.com/Pimzino/claude-code-spec-workflow
snarktank/ralph,13301,13301,1389,201,201,10,https://github.com/snarktank/ralph
EveryInc/compound-engineering-plugin,10628,10628,854,115,115,11,https://github.com/EveryInc/compound-engineering-plugin
eyaltoledano/claude-task-master,25992,25992,2449,31,31,-2,https://github.com/eyaltoledano/claude-task-master
feiskyer/claude-code-settings,1328,1328,197,19,19,3,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,8655,8655,1105,98,98,9,https://github.com/siteboon/claudecodeui
carlvellotti/claude-code-pm-course,1645,1645,246,10,10,1,https://github.com/carlvellotti/claude-code-pm-course
obra/superpowers,99121,99121,7897,7834,7834,668,https://github.com/obra/superpowers
sugyan/claude-code-webui,969,969,222,5,5,1,https://github.com/sugyan/claude-code-webui
zhukunpenglinyutong/idea-claude-code-gui,2018,2018,225,84,84,7,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
centminmod/my-claude-code-setup,2085,2085,208,19,19,3,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1479,1479,236,6,6,1,https://github.com/lst97/claude-code-sub-agents
