full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,109603,109603,18193,377,377,111,https://github.com/anthropics/claude-code
claude-code-best/claude-code,14039,14039,14144,209,209,103,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,141483,141483,21419,1881,1881,499,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1847,1847,5491,25,25,49,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,48848,48848,7896,322,322,64,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8482,8482,14141,52,52,49,https://github.com/ChinaSiro/claude-code-sourcemap
yasasbanukaofficial/claude-code,1677,1677,2931,116,116,141,https://github.com/yasasbanukaofficial/claude-code
codeaashu/claude-code,1645,1645,2498,129,129,152,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1277,1277,2203,21,21,43,https://github.com/tanbiralam/claude-code
hesreallyhim/awesome-claude-code,36834,36834,2918,195,195,27,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,48,48,7384,-1,-1,4,https://github.com/RishabhK103/claude-code
pengchengneo/Claude-Code,1040,1040,1995,23,23,13,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31594,31594,2499,43,43,5,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24208,24208,2380,49,49,3,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32263,32263,2951,215,215,27,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,655,655,971,31,31,29,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,166,166,2197,2,2,23,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2779,2779,3571,23,23,22,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2045,2045,3355,17,17,27,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16390,16390,1853,92,92,14,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6905,6905,1672,13,13,5,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8316,8316,1541,44,44,15,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9416,9416,1203,1,1,-1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,8215,8215,1240,53,53,11,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8495,8495,629,39,39,2,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,283,283,577,4,4,2,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,731,731,1686,8,8,2,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7176,7176,502,19,19,3,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5723,5723,511,6,6,0,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,848,848,1678,7,7,28,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,1629,1629,1861,88,88,53,https://github.com/chauncygu/collection-claude-code-source-code
OneRedOak/claude-code-workflows,3771,3771,554,4,4,1,https://github.com/OneRedOak/claude-code-workflows
liuup/claude-code-analysis,971,971,966,41,41,41,https://github.com/liuup/claude-code-analysis
huangserva/claude-code-cli,518,518,1239,4,4,10,https://github.com/huangserva/claude-code-cli
leaked-claude-code/leaked-claude-code,817,817,1006,27,27,19,https://github.com/leaked-claude-code/leaked-claude-code
qwibitai/nanoclaw,26615,26615,10865,59,59,158,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3375,3375,446,2,2,1,https://github.com/1rgs/claude-code-proxy
sickn33/antigravity-awesome-skills,30969,30969,5169,172,172,27,https://github.com/sickn33/antigravity-awesome-skills
lintsinghua/claude-code-book,2142,2142,536,61,61,10,https://github.com/lintsinghua/claude-code-book
777genius/claude-code-source-code,880,880,1126,5,5,-1,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3475,3475,593,3,3,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,111290,111290,12599,397,397,68,https://github.com/anthropics/skills
zebbern/claude-code-guide,3858,3858,365,7,7,4,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7371,7371,364,19,19,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
alex000kim/claude-code,193,193,303,1,1,1,https://github.com/alex000kim/claude-code
VineeTagarwaL-code/claude-code,258,258,261,0,0,2,https://github.com/VineeTagarwaL-code/claude-code
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2337,2337,400,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,187,187,283,0,0,1,https://github.com/zstmfhy/Claude-code
xorespesp/claude-code,200,200,277,4,4,3,https://github.com/xorespesp/claude-code
fuergaosi233/claude-code-proxy,2344,2344,329,3,3,-1,https://github.com/fuergaosi233/claude-code-proxy
lorryjovens-hub/claude-code-rust,1127,1127,450,36,36,19,https://github.com/lorryjovens-hub/claude-code-rust
RichardAtCT/claude-code-telegram,2360,2360,319,12,12,5,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2962,2962,422,34,34,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
anthropics/claude-code-security-review,4133,4133,362,7,7,2,https://github.com/anthropics/claude-code-security-review
freestylefly/claude-code,117,117,272,0,0,0,https://github.com/freestylefly/claude-code
Cranot/claude-code-guide,2573,2573,285,6,6,1,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,357,357,607,1,1,0,https://github.com/AprilNEA/claude-code-source
chiragjoshi12/claude-code,172,172,211,5,5,4,https://github.com/chiragjoshi12/claude-code
anthropics/claude-code-base-action,784,784,598,1,1,0,https://github.com/anthropics/claude-code-base-action
Kuberwastaken/claurst,8406,8406,7599,246,246,65,https://github.com/Kuberwastaken/claurst
ding113/claude-code-hub,2293,2293,261,3,3,0,https://github.com/ding113/claude-code-hub
Alishahryar1/free-claude-code,1683,1683,293,69,69,21,https://github.com/Alishahryar1/free-claude-code
Windy3f3f3f3f/how-claude-code-works,1511,1511,454,31,31,11,https://github.com/Windy3f3f3f3f/how-claude-code-works
eyaltoledano/claude-task-master,26417,26417,2474,10,10,5,https://github.com/eyaltoledano/claude-task-master
fazxes/Claude-code,189,189,197,1,1,1,https://github.com/fazxes/Claude-code
mehmoodosman/claude-code,146,146,208,6,6,2,https://github.com/mehmoodosman/claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5606,5606,491,67,67,14,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
router-for-me/CLIProxyAPI,23449,23449,3925,223,223,39,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,479,479,648,3,3,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,136781,136781,11534,891,891,134,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1381,1381,282,-1,-1,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3625,3625,256,6,6,1,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
snarktank/ralph,14469,14469,1477,39,39,7,https://github.com/snarktank/ralph
wshobson/agents,33042,33042,3602,55,55,4,https://github.com/wshobson/agents
bfly123/claude_code_bridge,2096,2096,197,8,8,0,https://github.com/bfly123/claude_code_bridge
luyao618/Claude-Code-Source-Study,946,946,410,32,32,5,https://github.com/luyao618/Claude-Code-Source-Study
repowise-dev/claude-code-prompts,789,789,314,33,33,12,https://github.com/repowise-dev/claude-code-prompts
lowcortisolprogrammer/claude-code,168,168,160,0,0,-1,https://github.com/lowcortisolprogrammer/claude-code
ghuntley/claude-code-source-code-deobfuscation,964,964,552,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
isboyjc/claude-code,127,127,180,0,0,1,https://github.com/isboyjc/claude-code
anthropics/claude-plugins-official,16105,16105,1807,71,71,14,https://github.com/anthropics/claude-plugins-official
Yeachan-Heo/oh-my-claudecode,24760,24760,2272,469,469,57,https://github.com/Yeachan-Heo/oh-my-claudecode
andrew-kramer-inno/claude-code-source-build,546,546,492,6,6,5,https://github.com/andrew-kramer-inno/claude-code-source-build
garrytan/gstack,64986,64986,8862,0,0,0,https://github.com/garrytan/gstack
carlvellotti/claude-code-pm-course,1757,1757,272,5,5,1,https://github.com/carlvellotti/claude-code-pm-course
